Track name,Artist name,Album,Playlist name,Type,ISRC,Apple - id
"Another Brick In the Wall, Pt. 1","Pink Floyd","The Wall","When David Takes On Goliath: An Emotional Journey Through Conflict and Resolution at 10 Ocean Blvd","Playlist","GBN9Y1100097","1065975636"
"House of Cards","Radiohead","In Rainbows","When David Takes On Goliath: An Emotional Journey Through Conflict and Resolution at 10 Ocean Blvd","Playlist","GBSTK0700008","1109715467"
"Trouble","Coldplay","Parachutes","When David Takes On Goliath: An Emotional Journey Through Conflict and Resolution at 10 Ocean Blvd","Playlist","GBAYE1600171","1122782284"
"Undisclosed Desires","Muse","The Resistance","When David Takes On Goliath: An Emotional Journey Through Conflict and Resolution at 10 Ocean Blvd","Playlist","GBAHT1500310","991509846"
"Waiting On the World to Change","John Mayer","Continuum","When David Takes On Goliath: An Emotional Journey Through Conflict and Resolution at 10 Ocean Blvd","Playlist","USSM10602589","184335560"
"bad guy","Billie Eilish","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","When David Takes On Goliath: An Emotional Journey Through Conflict and Resolution at 10 Ocean Blvd","Playlist","USUM71900764","1450695739"
"Under Pressure","Queen & David Bowie","Greatest Hits I, II & III: The Platinum Collection","When David Takes On Goliath: An Emotional Journey Through Conflict and Resolution at 10 Ocean Blvd","Playlist","GBUM71404523","1440651291"
"Uprising","Muse","The Resistance","When David Takes On Goliath: An Emotional Journey Through Conflict and Resolution at 10 Ocean Blvd","Playlist","GBAHT1500308","991509754"
"I Fought the Law","The Clash","Hits Back (Deluxe Edition)","When David Takes On Goliath: An Emotional Journey Through Conflict and Resolution at 10 Ocean Blvd","Playlist","GBARL1201017","647246433"
"Lawyers, Guns and Money","Warren Zevon","A Quiet Normal Life - The Best of Warren Zevon","When David Takes On Goliath: An Emotional Journey Through Conflict and Resolution at 10 Ocean Blvd","Playlist","USEE19901106","296202523"
"Paper Trail$","Joey Bada$$","B4.Da.$$","When David Takes On Goliath: An Emotional Journey Through Conflict and Resolution at 10 Ocean Blvd","Playlist","QMKSC1400035","1503624431"
"The Pretender","Foo Fighters","Echoes, Silence, Patience & Grace","When David Takes On Goliath: An Emotional Journey Through Conflict and Resolution at 10 Ocean Blvd","Playlist","USRW30700007","262743414"
"Know Your Enemy","Rage Against the Machine","Rage Against the Machine","When David Takes On Goliath: An Emotional Journey Through Conflict and Resolution at 10 Ocean Blvd","Playlist","USSM19200664","191451133"
"This Ain't a Scene, It's an Arms Race","Fall Out Boy","Infinity On High (Deluxe Edition)","When David Takes On Goliath: An Emotional Journey Through Conflict and Resolution at 10 Ocean Blvd","Playlist","USUM70619006","1445734014"
"Tick Tick Boom","The Hives","The Black and White Album","When David Takes On Goliath: An Emotional Journey Through Conflict and Resolution at 10 Ocean Blvd","Playlist","GBUM70708690","1443094618"
"Eye of the Tiger","Survivor","Eye of the Tiger (Remastered)","When David Takes On Goliath: An Emotional Journey Through Conflict and Resolution at 10 Ocean Blvd","Playlist","USVR19300001","254685026"
"I Want It All (Single Version)","Queen","Greatest Hits I, II & III: The Platinum Collection","When David Takes On Goliath: An Emotional Journey Through Conflict and Resolution at 10 Ocean Blvd","Playlist","GBUM71029624","1440651302"
"Show Me the Money","Petey Pablo","Step Up (Original Soundtrack)","When David Takes On Goliath: An Emotional Journey Through Conflict and Resolution at 10 Ocean Blvd","Playlist","USJI10600294","183507255"
"That Someday","Trace Adkins","That Someday - Single","When David Takes On Goliath: An Emotional Journey Through Conflict and Resolution at 10 Ocean Blvd","Playlist","QZGLS2531746","1800894384"
"The Sound of Silence","Disturbed","Immortalized (Deluxe Edition)","When David Takes On Goliath: An Emotional Journey Through Conflict and Resolution at 10 Ocean Blvd","Playlist","USRE11500200","1006937459"
"Bodies","Drowning Pool","Sinner","When David Takes On Goliath: An Emotional Journey Through Conflict and Resolution at 10 Ocean Blvd","Playlist","USWU30006502","1440777727"
"Sue Me","Sabrina Carpenter","Singular Act I","When David Takes On Goliath: An Emotional Journey Through Conflict and Resolution at 10 Ocean Blvd","Playlist","USHR11838862","1438671365"
"Witness","Sarah McLachlan","Surfacing","When David Takes On Goliath: An Emotional Journey Through Conflict and Resolution at 10 Ocean Blvd","Playlist","USAR19700538","388154319"
"Patience","Guns N' Roses","G N' R Lies","When David Takes On Goliath: An Emotional Journey Through Conflict and Resolution at 10 Ocean Blvd","Playlist","USGF18819805","1440905397"
"Dig","Incubus","Light Grenades","When David Takes On Goliath: An Emotional Journey Through Conflict and Resolution at 10 Ocean Blvd","Playlist","USSM10604651","204285081"
"Everybody Talks","Neon Trees","Picture Show","When David Takes On Goliath: An Emotional Journey Through Conflict and Resolution at 10 Ocean Blvd","Playlist","USUM71119189","1443469581"
"Paper Planes","M.I.A.","Kala","When David Takes On Goliath: An Emotional Journey Through Conflict and Resolution at 10 Ocean Blvd","Playlist","GBBKS0700215","296393515"
"The Truth","Limp Bizkit","The Unquestionable Truth, Pt. 1","When David Takes On Goliath: An Emotional Journey Through Conflict and Resolution at 10 Ocean Blvd","Playlist","USIR10500618","1449912853"
"The Game","Disturbed","The Sickness","When David Takes On Goliath: An Emotional Journey Through Conflict and Resolution at 10 Ocean Blvd","Playlist","USRE11500331","1030601025"
"Objection (Tango)","Shakira","Laundry Service","When David Takes On Goliath: An Emotional Journey Through Conflict and Resolution at 10 Ocean Blvd","Playlist","NLB630100360","188260859"
"Brave","Sara Bareilles","The Blessed Unrest","When David Takes On Goliath: An Emotional Journey Through Conflict and Resolution at 10 Ocean Blvd","Playlist","USSM11301638","1440504730"
"Stronger (What Doesn't Kill You)","Kelly Clarkson","Stronger","When David Takes On Goliath: An Emotional Journey Through Conflict and Resolution at 10 Ocean Blvd","Playlist","GBCTA1100364","464446141"
"Science Genius Girl (hi-phive Mix)","Freezepop","Freezepop Forever","When David Takes On Goliath: An Emotional Journey Through Conflict and Resolution at 10 Ocean Blvd","Playlist","USHM90483725","44080905"
"Becoming the Bull","Atreyu","Lead Sails Paper Anchor","When David Takes On Goliath: An Emotional Journey Through Conflict and Resolution at 10 Ocean Blvd","Playlist","USHR10723245","1440768147"
"Harder Better Faster Stronger","Daft Punk","Discovery","When David Takes On Goliath: An Emotional Journey Through Conflict and Resolution at 10 Ocean Blvd","Playlist","GBDUW0000059","697195787"
"Scream Aim Fire","Bullet for My Valentine","Scream Aim Fire","When David Takes On Goliath: An Emotional Journey Through Conflict and Resolution at 10 Ocean Blvd","Playlist","GBHQD0700046","272199020"
"Carmina Burana: O Fortuna","London Philharmonic Orchestra, David Parry, London Philharmonic Choir & The London Chorus","The 50 Greatest Pieces of Classical Music","When David Takes On Goliath: An Emotional Journey Through Conflict and Resolution at 10 Ocean Blvd","Playlist","SEWDL9750008","339006457"
"Judgment Day","Five Finger Death Punch","AfterLife","When David Takes On Goliath: An Emotional Journey Through Conflict and Resolution at 10 Ocean Blvd","Playlist","USDPK2200070","1619239937"
"Victory","Two Steps From Hell & Thomas Bergersen","Battlecry","When David Takes On Goliath: An Emotional Journey Through Conflict and Resolution at 10 Ocean Blvd","Playlist","US3DF1505725","1781233013"
"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)","DJ Khaled","All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross) - Single","When David Takes On Goliath: An Emotional Journey Through Conflict and Resolution at 10 Ocean Blvd","Playlist","USKO11000176","353859788"
"Writing's On the Wall","Sam Smith","Writing's On the Wall - Single","When David Takes On Goliath: An Emotional Journey Through Conflict and Resolution at 10 Ocean Blvd","Playlist","GBUM71505354","1445028072"
"The Change","Evanescence","Evanescence (Deluxe Version)","When David Takes On Goliath: An Emotional Journey Through Conflict and Resolution at 10 Ocean Blvd","Playlist","USWU31100062","1440642292"
"Brave New World (2015 Remastered Version)","Iron Maiden","Brave New World (2015 Remastered Version)","When David Takes On Goliath: An Emotional Journey Through Conflict and Resolution at 10 Ocean Blvd","Playlist","GB5KW1701411","1247952874"
"We Are the Champions","Queen","Greatest Hits I, II & III: The Platinum Collection","When David Takes On Goliath: An Emotional Journey Through Conflict and Resolution at 10 Ocean Blvd","Playlist","GBUM71029619","1440651281"
"F**k You","CeeLo Green","F**k You - Deluxe Single","When David Takes On Goliath: An Emotional Journey Through Conflict and Resolution at 10 Ocean Blvd","Playlist","USAT21001768","390849615"